Address_Line1,Address_Line2,City,Company,Contact,Country,Full_Time_Employees,Industry,Sector,State,Ticker,Website,Zipcode
1049 Camino Dos Rios, ,Thousand Oaks,Teledyne Technologies,805 373 4545,United States,"11,790",Scientific & Technical Instruments,Technology,CA,TDY,http://www.teledyne.com,91360-2362
Salesforce Tower,3rd Floor 415 Mission Street,San Francisco,Salesforce.com,415 901 7000,United States,"54,255",Software—Application,Technology,CA,CRM,http://www.salesforce.com,94105
690 East Middlefield Road, ,Mountain View,Synopsys Inc.,650 584 5000,United States,"13,896",Software—Infrastructure,Technology,CA,SNPS,http://www.synopsys.com,94043
60 East Rio Salado Parkway,Suite 1000,Tempe,NortonLifeLock,650-527-8000,United States,"3,600",Software—Infrastructure,Technology,AZ,NLOK,http://www.nortonLifeLock.com,85281
111 McInnis Parkway, ,San Rafael,Autodesk Inc.,415 507 5000,United States,"10,100",Software—Application,Technology,CA,ADSK,http://www.autodesk.com,94903
2655 Seely Avenue,Building 5,San Jose,Cadence Design Systems,408 943 1234,United States,"8,100",Software—Application,Technology,CA,CDNS,http://www.cadence.com,95134
851 West Cypress Creek Road, ,Fort Lauderdale,Citrix Systems,954 267 3000,United States,"8,400",Software—Application,Technology,FL,CTXS,http://www.citrix.com,33309
1133 Innovation Way, ,Sunnyvale,Juniper Networks,408 745 2000,United States,"9,838",Communication Equipment,Technology,CA,JNPR,http://www.juniper.net,94089
801 5th Avenue, ,Seattle,F5 Networks,206-272-5555,United States,"5,786",Software—Infrastructure,Technology,WA,FFIV,http://www.f5.com,98104
500 West Monroe Street,Suite 4400,Chicago,Motorola Solutions Inc.,847 576 5000,United States,"17,000",Communication Equipment,Technology,IL,MSI,http://www.motorolasolutions.com,60661
170 West Tasman Drive, ,San Jose,Cisco Systems,408 526 4000,United States,"77,500",Communication Equipment,Technology,CA,CSCO,http://www.cisco.com,95134
663 West Highway 60,PO Box 807,Monett,Jack Henry & Associates,417-235-6652,United States,"6,717",Information Technology Services,Technology,MO,JKHY,http://www.jackhenry.com,65708
3280 Peachtree Road,Suite 2400,Atlanta,FleetCor Technologies Inc,770-449-0479,United States,"8,700",Information Technology Services,Technology,GA,FLT,http://www.fleetcor.com,30305
601 Riverside Avenue, ,Jacksonville,Fidelity National Information Services,904-438-6000,United States,"55,000",Information Technology Services,Technology,FL,FIS,http://www.fisglobal.com,32204
5 Dakota Drive,Suite 300,Lake Success,Broadridge Financial Solutions,516-472-5400,United States,"12,000",Information Technology Services,Technology,NY,BR,http://www.broadridge.com,11042
255 Fiserv Drive, ,Brookfield,Fiserv Inc,262-879-5000,United States,"44,000",Information Technology Services,Technology,WI,FISV,http://www.fiserv.com,53045
5420 Wade Park Boulevard,Suite 206,Raleigh,Vontier,984 247 8308,United States,"8,400",Scientific & Technical Instruments,Technology,NC,VNT,http://www.vontier.com,27607
3 Overlook Point, ,Lincolnshire,Zebra Technologies,847 634 6700,United States,"8,200",Communication Equipment,Technology,IL,ZBRA,http://www.zebra.com,60069
1400 Fountaingrove Parkway, ,Santa Rosa,Keysight Technologies,800 829 4444,United States,"13,800",Scientific & Technical Instruments,Technology,CA,KEYS,http://www.keysight.com,95403-1738
50 Old Webster Road, ,Oxford,IPG Photonics Corp.,508 373 1100,United States,"5,960",Semiconductor Equipment & Materials,Technology,MA,IPGP,http://www.ipgphotonics.com,01540
Glenpointe Centre West,500 Frank West Burr Boulevard,Teaneck,Cognizant Technology Solutions,201-801-0233,United States,"281,200",Information Technology Services,Technology,NJ,CTSH,http://www.cognizant.com,07666
56 Top Gallant Road,PO Box 10212,Stamford,Gartner Inc,203-316-1111,United States,"16,724",Information Technology Services,Technology,CT,IT,http://www.gartner.com,06902
6920 Seaway Boulevard, ,Everett,Fortive Corp,425 446 5000,United States,"25,000",Scientific & Technical Instruments,Technology,WA,FTV,http://www.fortive.com,98203
145 Broadway, ,Cambridge,Akamai Technologies Inc,617-444-3000,United States,"7,951",Software—Infrastructure,Technology,MA,AKAM,http://www.akamai.com,02142
4650 Cushing Parkway, ,Fremont,Lam Research,510 572 0200,United States,"11,300",Semiconductor Equipment & Materials,Technology,CA,LRCX,http://www.lamresearch.com,94538
3050 Bowers Avenue,PO Box 58039,Santa Clara,Applied Materials Inc.,408 727 5555,United States,"23,600",Semiconductor Equipment & Materials,Technology,CA,AMAT,http://www.appliedmaterials.com,95052
One Technology Drive, ,Milpitas,KLA Corporation,408 875 3000,United States,"10,600",Semiconductor Equipment & Materials,Technology,CA,KLAC,http://www.kla.com,95035
160 Rio Robles, ,San Jose,Maxim Integrated Products Inc,408 601 1000,United States,"7,115",Semiconductors,Technology,CA,MXIM,http://www.maximintegrated.com,95134
One Technology Way,PO Box 9106,Norwood,"Analog Devices, Inc.",781 329 4700,United States,"16,400",Semiconductors,Technology,MA,ADI,http://www.analog.com,02062
2355 West Chandler Boulevard, ,Chandler,Microchip Technology,480 792 7200,United States,"18,000",Semiconductors,Technology,AZ,MCHP,http://www.microchip.com,85224-6199
