ticker,company,industry
MMM,3M Company,Industrial Conglomerates
ABT,Abbott Laboratories,Health Care Equipment
ABBV,AbbVie Inc.,Pharmaceuticals
ABMD,ABIOMED Inc,Health Care Equipment
ACN,Accenture plc,IT Consulting & Other Services
ATVI,Activision Blizzard,Interactive Home Entertainment
ADBE,Adobe Inc.,Application Software
AMD,Advanced Micro Devices Inc,Semiconductors
AAP,Advance Auto Parts,Automotive Retail
AES,AES Corp,Independent Power Producers & Energy Traders
AFL,AFLAC Inc,Life & Health Insurance
A,Agilent Technologies Inc,Health Care Equipment
APD,Air Products & Chemicals Inc,Industrial Gases
AKAM,Akamai Technologies Inc,Internet Services & Infrastructure
ALK,Alaska Air Group Inc,Airlines
ALB,Albemarle Corp,Specialty Chemicals
ARE,Alexandria Real Estate Equities,Office REITs
ALXN,Alexion Pharmaceuticals,Biotechnology
ALGN,Align Technology,Health Care Supplies
ALLE,Allegion,Building Products
LNT,Alliant Energy Corp,Electric Utilities
ALL,Allstate Corp,Property & Casualty Insurance
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services
GOOG,Alphabet Inc. (Class C),Interactive Media & Services
MO,Altria Group Inc,Tobacco
AMZN,Amazon.com Inc.,Internet & Direct Marketing Retail
AMCR,Amcor plc,Paper Packaging
AEE,Ameren Corp,Multi-Utilities
AAL,American Airlines Group,Airlines
AEP,American Electric Power,Electric Utilities
AXP,American Express Co,Consumer Finance
AIG,American International Group,Property & Casualty Insurance
AMT,American Tower Corp.,Specialized REITs
AWK,American Water Works Company Inc,Water Utilities
AMP,Ameriprise Financial,Asset Management & Custody Banks
ABC,AmerisourceBergen Corp,Health Care Distributors
AME,AMETEK Inc.,Electrical Components & Equipment
AMGN,Amgen Inc.,Biotechnology
APH,Amphenol Corp,Electronic Components
ADI,"Analog Devices, Inc.",Semiconductors
ANSS,ANSYS,Application Software
ANTM,Anthem,Managed Health Care
AON,Aon plc,Insurance Brokers
AOS,A.O. Smith Corp,Building Products
APA,Apache Corporation,Oil & Gas Exploration & Production
AIV,Apartment Investment & Management,Residential REITs
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials Inc.,Semiconductor Equipment
APTV,Aptiv PLC,Auto Parts & Equipment
ADM,Archer-Daniels-Midland Co,Agricultural Products
ANET,Arista Networks,Communications Equipment
AJG,Arthur J. Gallagher & Co.,Insurance Brokers
AIZ,Assurant,Multi-line Insurance
T,AT&T Inc.,Integrated Telecommunication Services
ATO,Atmos Energy,Gas Utilities
ADSK,Autodesk Inc.,Application Software
ADP,Automatic Data Processing,Internet Services & Infrastructure
AZO,AutoZone Inc,Specialty Stores
AVB,AvalonBay Communities,Residential REITs
AVY,Avery Dennison Corp,Paper Packaging
BKR,Baker Hughes Co,Oil & Gas Equipment & Services
BLL,Ball Corp,Metal & Glass Containers
BAC,Bank of America Corp,Diversified Banks
BK,The Bank of New York Mellon,Asset Management & Custody Banks
BAX,Baxter International Inc.,Health Care Equipment
BDX,Becton Dickinson,Health Care Equipment
