Address_Line1,Address_Line2,City,Company,Contact,Country,Full_Time_Employees,Industry,Sector,State,Ticker,Website,Zipcode
909 Third Avenue, ,New York,Interpublic Group,212-704-1200,United States,"54,300",Advertising Agencies,Communication Services,NY,IPG,http://www.interpublic.com,10022
437 Madison Avenue, ,New York,Omnicom Group,212-415-3600,United States,"70,000",Advertising Agencies,Communication Services,NY,OMC,http://www.omnicomgroup.com,10022
6801 Rockledge Drive, ,Bethesda,Lockheed Martin Corp.,301-897-6000,United States,"110,000",Aerospace & Defense,Industrials,MD,LMT,http://www.lockheedmartin.com,20817
The Tower at Erieview,Suite 3000 1301 East 9th Street,Cleveland,TransDigm Group,216-706-2960,United States,"18,300",Aerospace & Defense,Industrials,OH,TDG,http://www.transdigm.com,44114
40 Westminster Street, ,Providence,Textron Inc.,401 421 2800,United States,"35,000",Aerospace & Defense,Industrials,RI,TXT,http://www.textron.com,02903
1025 West NASA Boulevard, ,Melbourne,L3Harris Technologies,321-727-9100,United States,"50,000",Aerospace & Defense,Industrials,FL,LHX,http://www.l3harris.com,32919
100 North Riverside Plaza, ,Chicago,Boeing Company,312-544-2000,United States,"161,100",Aerospace & Defense,Industrials,IL,BA,http://www.boeing.com,60606-1596
201 Isabella Street,Suite 200,Pittsburgh,Howmet Aerospace,412 553 2500,United States,"41,700",Specialty Industrial Machinery,Industrials,PA,HWM,http://www.howmet.com,15212-5872
1049 Camino Dos Rios, ,Thousand Oaks,Teledyne Technologies,805 373 4545,United States,"11,790",Scientific & Technical Instruments,Technology,CA,TDY,http://www.teledyne.com,91360-2362
2980 Fairview Park Drive, ,Falls Church,Northrop Grumman,703 280 2900,United States,"90,000",Aerospace & Defense,Industrials,VA,NOC,http://www.northropgrumman.com,22042
870 Winter Street, ,Waltham,Raytheon Technologies,781-522-3000,United States,"195,000",Aerospace & Defense,Industrials,MA,RTX,http://www.rtx.com,02451
4101 Washington Avenue, ,Newport News,Huntington Ingalls Industries,757-380-2000,United States,"42,000",Aerospace & Defense,Industrials,VA,HII,http://www.huntingtoningalls.com,23607
One John Deere Place, ,Moline,Deere & Co.,309-765-8000,United States,"73,489",Farm & Heavy Construction Machinery,Industrials,IL,DE,http://www.deere.com,61265
77 West Wacker Drive,Suite 4600,Chicago,Archer-Daniels-Midland Co,312 634 8100,United States,"38,100",Farm Products,Consumer Defensive,IL,ADM,http://www.adm.com,60601
1015 Third Avenue, ,Seattle,Expeditors,206 674 3400,United States,"17,937",Integrated Freight & Logistics,Industrials,WA,EXPD,http://www.expeditors.com,98104
"55 Glenlake Parkway, NE", ,Atlanta,United Parcel Service,404 828 6000,United States,"260,280",Integrated Freight & Logistics,Industrials,GA,UPS,http://www.ups.com,30328
942 South Shady Grove Road, ,Memphis,FedEx Corporation,901 818 7500,United States,"324,000",Integrated Freight & Logistics,Industrials,TN,FDX,http://www.fedex.com,38120
14701 Charlson Road, ,Eden Prairie,C. H. Robinson Worldwide,952 937 8500,United States,"15,338",Integrated Freight & Logistics,Industrials,MN,CHRW,http://www.chrobinson.com,55347
233 South Wacker Drive, ,Chicago,United Airlines Holdings,872 825 4000,United States,"87,887",Airlines,Industrials,IL,UAL,http://www.united.com,60606
PO Box 20706, ,Atlanta,Delta Air Lines Inc.,404 715 2600,United States,"91,000",Airlines,Industrials,GA,DAL,http://www.delta.com,30320-6001
19300 International Boulevard, ,Seattle,Alaska Air Group Inc,206 392 5040,United States,"18,112",Airlines,Industrials,WA,ALK,http://www.alaskaair.com,98188
PO Box 36611, ,Dallas,Southwest Airlines,214 792 4000,United States,"57,931",Airlines,Industrials,TX,LUV,http://www.southwest.com,75235-1611
1 Skyview Drive, ,Fort Worth,American Airlines Group,817 963 1234,United States,"110,500",Airlines,Industrials,TX,AAL,http://www.aa.com,76155
100 CenturyLink Drive, ,Monroe,Lumen Technologies,318-388-9000,United States,"40,000",Telecom Services,Communication Services,LA,LUMN,http://www.lumen.com,71203
2 Folsom Street, ,San Francisco,Gap Inc.,415 427 0100,United States,"129,000",Apparel Retail,Consumer Cyclical,CA,GPS,http://www.gapinc.com,94105
5130 Hacienda Drive, ,Dublin,Ross Stores,925 965 4400,United States,"92,500",Apparel Retail,Consumer Cyclical,CA,ROST,http://www.rossstores.com,94568
770 Cochituate Road, ,Framingham,TJX Companies Inc.,508 390 1000,United States,"286,000",Apparel Retail,Consumer Cyclical,MA,TJX,http://www.tjx.com,01701
Three Limited Parkway, ,Columbus,L Brands Inc.,614 415 7000,United States,"25,500",Apparel Retail,Consumer Cyclical,OH,LB,http://www.lb.com,43230
1020 Hull Street, ,Baltimore,Under Armour (Class A),410 454 6428,United States,"7,000",Apparel Manufacturing,Consumer Cyclical,MD,UAA,http://www.underarmour.com,21230
8505 East Orchard Road, ,Greenwood Village,VF Corporation,720 778 4000,United States,"48,000",Apparel Manufacturing,Consumer Cyclical,CO,VFC,http://www.vfc.com,80111
727 Fifth Avenue, ,New York,Tiffany & Co.,212 755 8000,United States,"14,100",Luxury Goods,Consumer Cyclical,NY,TIF,http://www.tiffany.com,10022
1020 Hull Street, ,Baltimore,Under Armour (Class C),410 454 6428,United States,"7,000",Apparel Manufacturing,Consumer Cyclical,MD,UA,http://www.underarmour.com,21230
1000 East Hanes Mill Road, ,Winston-Salem,Hanesbrands Inc,336 519 8080,United States,"63,000",Apparel Manufacturing,Consumer Cyclical,NC,HBI,http://www.hanes.com,27105
200 Madison Avenue, ,New York,PVH Corp.,212 381 3500,United States,"21,500",Apparel Manufacturing,Consumer Cyclical,NY,PVH,http://www.pvh.com,10016
130 Royall Street, ,Canton,Ralph Lauren Corporation,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,RL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,"Tapestry, Inc.",781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TPR,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,"Nike, Inc.",781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,NKE,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Adobe Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ADBE,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Oracle Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ORCL,http://www.dunkinbrands.com,02021
Salesforce Tower,3rd Floor 415 Mission Street,San Francisco,Salesforce.com,415 901 7000,United States,"54,255",Software—Application,Technology,CA,CRM,http://www.salesforce.com,94105
130 Royall Street, ,Canton,Paycom,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,PAYC,http://www.dunkinbrands.com,02021
690 East Middlefield Road, ,Mountain View,Synopsys Inc.,650 584 5000,United States,"13,896",Software—Infrastructure,Technology,CA,SNPS,http://www.synopsys.com,94043
130 Royall Street, ,Canton,Tyler Technologies,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TYL,http://www.dunkinbrands.com,02021
60 East Rio Salado Parkway,Suite 1000,Tempe,NortonLifeLock,650-527-8000,United States,"3,600",Software—Infrastructure,Technology,AZ,NLOK,http://www.nortonLifeLock.com,85281
111 McInnis Parkway, ,San Rafael,Autodesk Inc.,415 507 5000,United States,"10,100",Software—Application,Technology,CA,ADSK,http://www.autodesk.com,94903
2655 Seely Avenue,Building 5,San Jose,Cadence Design Systems,408 943 1234,United States,"8,100",Software—Application,Technology,CA,CDNS,http://www.cadence.com,95134
130 Royall Street, ,Canton,Intuit Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,INTU,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,ANSYS,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ANSS,http://www.dunkinbrands.com,02021
851 West Cypress Creek Road, ,Fort Lauderdale,Citrix Systems,954 267 3000,United States,"8,400",Software—Application,Technology,FL,CTXS,http://www.citrix.com,33309
130 Royall Street, ,Canton,BlackRock,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,BLK,http://www.dunkinbrands.com,02021
Two Peachtree Pointe,"1555 Peachtree Street, NE, Suite 1800",Atlanta,Invesco Ltd.,404-479-1095,United States,"8,717",Asset Management,Financial Services,GA,IVZ,http://www.invesco.com,30309
130 Royall Street, ,Canton,T. Rowe Price Group,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TROW,http://www.dunkinbrands.com,02021
State Street Financial Center,One Lincoln Street,Boston,State Street Corp.,617-786-3000,United States,"38,979",Asset Management,Financial Services,MA,STT,http://www.statestreet.com,02111
130 Royall Street, ,Canton,Ameriprise Financial,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AMP,http://www.dunkinbrands.com,02021
