Adj Close,Close,Company,Date,High,Low,Open,Ticker,Volume
386.24,386.24,Teledyne Technologies,Nov 27 2020,388.18,382.87,387.69,TDY,57000
388.16,388.16,Teledyne Technologies,Nov 25 2020,390.03,383.22,390.03,TDY,108900
392.33,392.33,Teledyne Technologies,Nov 24 2020,394.06,384.76,389.38,TDY,197600
383.86,383.86,Teledyne Technologies,Nov 23 2020,385.63,381.05,385.20,TDY,146400
382.02,382.02,Teledyne Technologies,Nov 20 2020,390.60,380.15,390.60,TDY,167000
390.82,390.82,Teledyne Technologies,Nov 19 2020,391.84,384.22,388.76,TDY,129200
391.87,391.87,Teledyne Technologies,Nov 18 2020,398.68,389.55,395.61,TDY,139700
394.17,394.17,Teledyne Technologies,Nov 17 2020,395.87,382.82,385.96,TDY,202600
390.88,390.88,Teledyne Technologies,Nov 16 2020,393.02,381.39,388.66,TDY,261100
379.31,379.31,Teledyne Technologies,Nov 13 2020,380.62,368.00,370.55,TDY,203200
366.79,366.79,Teledyne Technologies,Nov 12 2020,367.14,356.66,363.38,TDY,167600
367.25,367.25,Teledyne Technologies,Nov 11 2020,372.71,360.85,372.71,TDY,134300
369.72,369.72,Teledyne Technologies,Nov 10 2020,374.61,365.37,366.23,TDY,173100
364.12,364.12,Teledyne Technologies,Nov 09 2020,373.43,349.39,354.99,TDY,316500
336.83,336.83,Teledyne Technologies,Nov 06 2020,342.90,333.62,336.00,TDY,107800
336.21,336.21,Teledyne Technologies,Nov 05 2020,342.19,334.31,334.31,TDY,102400
331.82,331.82,Teledyne Technologies,Nov 04 2020,338.36,325.60,329.06,TDY,162200
326.98,326.98,Teledyne Technologies,Nov 03 2020,329.82,316.56,319.05,TDY,144400
313.38,313.38,Teledyne Technologies,Nov 02 2020,317.14,309.30,314.94,TDY,231700
309.15,309.15,Teledyne Technologies,Oct 30 2020,314.00,304.58,307.92,TDY,142900
309.36,309.36,Teledyne Technologies,Oct 29 2020,311.63,304.19,305.24,TDY,148500
306.95,306.95,Teledyne Technologies,Oct 28 2020,314.98,306.40,310.73,TDY,198700
315.67,315.67,Teledyne Technologies,Oct 27 2020,326.50,315.49,324.82,TDY,182800
326.69,326.69,Teledyne Technologies,Oct 26 2020,338.15,324.98,336.64,TDY,162800
340.46,340.46,Teledyne Technologies,Oct 23 2020,341.32,337.31,340.18,TDY,126700
336.84,336.84,Teledyne Technologies,Oct 22 2020,337.23,328.64,330.36,TDY,150700
328.60,328.60,Teledyne Technologies,Oct 21 2020,344.85,327.15,340.00,TDY,302000
339.46,339.46,Teledyne Technologies,Oct 20 2020,341.81,336.18,336.56,TDY,216400
334.30,334.30,Teledyne Technologies,Oct 19 2020,338.92,331.53,333.80,TDY,202900
333.20,333.20,Teledyne Technologies,Oct 16 2020,335.24,328.83,330.00,TDY,207600
327.67,327.67,Teledyne Technologies,Oct 15 2020,328.11,317.01,317.52,TDY,160900
322.96,322.96,Teledyne Technologies,Oct 14 2020,329.05,319.75,319.75,TDY,112000
320.02,320.02,Teledyne Technologies,Oct 13 2020,326.08,318.67,324.67,TDY,208200
327.53,327.53,Teledyne Technologies,Oct 12 2020,328.97,325.34,326.32,TDY,120500
325.14,325.14,Teledyne Technologies,Oct 09 2020,328.91,324.50,328.61,TDY,110900
325.50,325.50,Teledyne Technologies,Oct 08 2020,325.72,317.66,317.71,TDY,109100
317.87,317.87,Teledyne Technologies,Oct 07 2020,319.86,315.30,317.23,TDY,222700
314.87,314.87,Teledyne Technologies,Oct 06 2020,322.28,313.11,318.36,TDY,211600
315.52,315.52,Teledyne Technologies,Oct 05 2020,317.62,313.36,313.44,TDY,131900
309.81,309.81,Teledyne Technologies,Oct 02 2020,312.79,301.76,303.19,TDY,114700
307.75,307.75,Teledyne Technologies,Oct 01 2020,314.80,307.22,312.66,TDY,168500
310.21,310.21,Teledyne Technologies,Sep 30 2020,315.42,307.61,313.11,TDY,286600
311.94,311.94,Teledyne Technologies,Sep 29 2020,315.06,310.38,313.93,TDY,133500
315.39,315.39,Teledyne Technologies,Sep 28 2020,320.14,315.11,317.10,TDY,185700
311.98,311.98,Teledyne Technologies,Sep 25 2020,312.74,304.23,306.56,TDY,162600
309.42,309.42,Teledyne Technologies,Sep 24 2020,313.62,304.54,308.94,TDY,139300
309.11,309.11,Teledyne Technologies,Sep 23 2020,319.88,308.80,317.10,TDY,140200
316.82,316.82,Teledyne Technologies,Sep 22 2020,318.10,312.34,313.21,TDY,143000
312.59,312.59,Teledyne Technologies,Sep 21 2020,320.85,311.36,320.85,TDY,201100
325.07,325.07,Teledyne Technologies,Sep 18 2020,326.88,322.20,323.10,TDY,344900
324.66,324.66,Teledyne Technologies,Sep 17 2020,326.34,316.28,320.93,TDY,215500
321.81,321.81,Teledyne Technologies,Sep 16 2020,326.43,319.79,320.94,TDY,212000
319.56,319.56,Teledyne Technologies,Sep 15 2020,324.28,318.55,321.00,TDY,200700
321.74,321.74,Teledyne Technologies,Sep 14 2020,324.37,316.40,316.76,TDY,157200
313.21,313.21,Teledyne Technologies,Sep 11 2020,315.59,307.99,309.75,TDY,144100
308.00,308.00,Teledyne Technologies,Sep 10 2020,315.21,306.45,314.39,TDY,270700
312.47,312.47,Teledyne Technologies,Sep 09 2020,317.02,311.52,316.58,TDY,249600
312.89,312.89,Teledyne Technologies,Sep 08 2020,316.50,310.00,314.64,TDY,229700
318.07,318.07,Teledyne Technologies,Sep 04 2020,322.75,313.30,321.34,TDY,250200
318.73,318.73,Teledyne Technologies,Sep 03 2020,325.62,315.32,323.95,TDY,273900
